Name,Longitude (x),Latitude (y),Connection
G1,-4.62,-0.092,a
G2,-4.238,0.066,b
a,-4.662,0.244,"b, G1, f"
b,-4.237,0.316,"a, G2"
c,-3.445,0.344,"b, d"
d,-2.734,0.331,"c, e"
e,-2.57,0.323,"d, RW1"
RW1,-2.556,0.481,e
f,-4.892,0.293,"a, g"
g,-4.584,0.682,"f, h"
h,-4.301,1.032,"h, RW2"
RW2,-4.39,1.135,h
